id,complaint,payment_type,failure_date,expected_category
38,"Received call from fake RBI officer. Transferred Rs 50000 under pressure. This is fraud.",P2P,2026-06-15,CRITICAL_FRAUD
39,"Insurance premium payment failed on PolicyBazaar. Rs 12000 deducted but policy not activated.",Merchant,2026-06-06,TECHNICAL_GLITCH
40,"Card cloned at ATM. Rs 28000 withdrawn from different city while I was at home.",P2P,2026-06-11,CRITICAL_FRAUD
41,"I would like to know the process for updating my mobile number linked to UPI.",P2P,2026-06-20,GENERAL
42,"Can you tell me the daily UPI transaction limit on my account?",P2P,2026-06-22,GENERAL
43,"My account statement shows a transaction from last month I want to verify.",Merchant,2026-06-18,GENERAL
44,"Payment of Rs 150 failed at a small shop. Resolved automatically next day.",Merchant,2026-06-23,TECHNICAL_GLITCH
45,"UPI transfer of Rs 500 to friend shows pending but friend received it. Minor confusion.",P2P,2026-06-24,TECHNICAL_GLITCH
46,"I want to check the status of my UPI payment made yesterday.",P2P,2026-06-24,GENERAL
47,"Please help me understand why my transaction limit was reduced.",P2P,2026-06-23,GENERAL
48,"I need a copy of my transaction receipt for a payment made last week.",Merchant,2026-06-18,GENERAL
49,"My UPI app is showing incorrect balance. Need clarification.",P2P,2026-06-22,GENERAL
50,"Payment of Rs 200 to local vendor shows pending but vendor says received.",Merchant,2026-06-24,TECHNICAL_GLITCH
51,"I accidentally sent Rs 100 to wrong UPI ID. Want to know refund process.",P2P,2026-06-23,GENERAL
52,"My bank passbook and UPI history showing different balance. Need help understanding.",P2P,2026-06-21,GENERAL
53,"Transaction of Rs 300 at medical store shows processing for 2 hours. Small amount.",Merchant,2026-06-24,TECHNICAL_GLITCH
